Account,Txn Date,Value Date,Description,Ref/Cheque No.,Merchant,MCC,Category,Channel,Debit,Credit,Balance
XXXX-XXXX-9876,2019-12-08,2019-12-08,WATER BILL/DJB/ONLINE,WB38977,,,Utilities,NET,350.00,,105537.75
XXXX-XXXX-9876,2019-12-14,2019-12-14,CC Payment HDFC Regalia XXXX-4321,NACH403677,,,Debt Payment,NACH,13000.00,,92537.75
XXXX-XXXX-9876,2019-12-15,2019-12-15,POS DR/BIGBASKET/DELHI,POS251262,BigBasket,5411,Groceries,POS,1725.00,,90812.75
XXXX-XXXX-9876,2019-12-22,2019-12-22,POS DR/BIGBASKET/DELHI,POS223514,BigBasket,5411,Groceries,POS,1890.00,,88922.75
XXXX-XXXX-9876,2019-12-29,2019-12-29,POS DR/BIGBASKET/DELHI,POS423466,BigBasket,5411,Groceries,POS,1890.00,,87032.75
XXXX-XXXX-9876,2019-12-15,2019-12-15,POS DR/BPCL FUEL PUMP/DELHI,POS208061,BPCL,5541,Transport,POS,1500.00,,85532.75
XXXX-XXXX-9876,2019-12-28,2019-12-28,POS DR/BPCL FUEL PUMP/DELHI,POS490487,BPCL,5541,Transport,POS,1500.00,,84032.75
XXXX-XXXX-9876,2019-12-06,2019-12-06,POS DR/SWIGGY/FOOD ORDER,POS691783,Swiggy,5814,Dining,POS,350.00,,83682.75
XXXX-XXXX-9876,2019-12-24,2019-12-24,POS DR/SWIGGY/FOOD ORDER,POS749078,Swiggy,5814,Dining,POS,350.00,,83332.75
XXXX-XXXX-9876,2019-12-18,2019-12-18,UPI CR/***@oksbi/Refund,UPI315963,,,Refund,UPI,,2500.00,85832.75
XXXX-XXXX-9876,2019-12-10,2019-12-10,SI POS/NETFLIX.COM/Subscriptions,SI99181,,,Subscriptions,SI,649.00,,85183.75
XXXX-XXXX-9876,2019-12-11,2019-12-11,UPI DR/AIRTEL PREPAID/***@okaxis,UPI657549,,,Telecom,UPI,399.00,,84784.75
XXXX-XXXX-9876,2019-12-27,2019-12-27,INT CR/SB INTEREST,INT86750,,,Interest,AUTO,,45.75,84830.50
XXXX-XXXX-9876,2020-01-01,2020-01-01,NEFT CR/Salary CREDIT/JAN 2020,NEFT2001S,Employer: TechNova Solutions,,Income,NEFT,,78000.00,162830.50
XXXX-XXXX-9876,2020-01-03,2020-01-03,IMPS DR/RENT/HOME OWNER,IMPS575198,,,Housing,IMPS,23000.00,,139830.50
XXXX-XXXX-9876,2020-01-07,2020-01-07,ELECTRICITY BILL/NDPL/ONLINE,EB57393,,,Utilities,NET,1850.00,,137980.50
XXXX-XXXX-9876,2020-01-08,2020-01-08,WATER BILL/DJB/ONLINE,WB42561,,,Utilities,NET,420.00,,137560.50
XXXX-XXXX-9876,2020-01-14,2020-01-14,CC Payment HDFC Regalia XXXX-4321,NACH185831,,,Debt Payment,NACH,13000.00,,124560.50
XXXX-XXXX-9876,2020-01-05,2020-01-05,POS DR/BIGBASKET/DELHI,POS414834,BigBasket,5411,Groceries,POS,1890.00,,122670.50
XXXX-XXXX-9876,2020-01-12,2020-01-12,POS DR/BIGBASKET/DELHI,POS619167,BigBasket,5411,Groceries,POS,1890.00,,120780.50
XXXX-XXXX-9876,2020-01-19,2020-01-19,POS DR/BIGBASKET/DELHI,POS864878,BigBasket,5411,Groceries,POS,1580.00,,119200.50
XXXX-XXXX-9876,2020-01-26,2020-01-26,POS DR/BIGBASKET/DELHI,POS401924,BigBasket,5411,Groceries,POS,1725.00,,117475.50
XXXX-XXXX-9876,2020-01-15,2020-01-15,POS DR/BPCL FUEL PUMP/DELHI,POS223800,BPCL,5541,Transport,POS,1200.00,,116275.50
XXXX-XXXX-9876,2020-01-28,2020-01-28,POS DR/BPCL FUEL PUMP/DELHI,POS272975,BPCL,5541,Transport,POS,2200.00,,114075.50
XXXX-XXXX-9876,2020-01-09,2020-01-09,POS DR/SWIGGY/FOOD ORDER,POS542182,Swiggy,5814,Dining,POS,750.00,,113325.50
XXXX-XXXX-9876,2020-01-17,2020-01-17,POS DR/SWIGGY/FOOD ORDER,POS800675,Swiggy,5814,Dining,POS,350.00,,112975.50
XXXX-XXXX-9876,2020-01-18,2020-01-18,UPI CR/***@oksbi/Refund,UPI181390,,,Refund,UPI,,2000.00,114975.50
XXXX-XXXX-9876,2020-01-10,2020-01-10,SI POS/NETFLIX.COM/Subscriptions,SI54580,,,Subscriptions,SI,649.00,,114326.50
XXXX-XXXX-9876,2020-01-11,2020-01-11,UPI DR/AIRTEL PREPAID/***@okaxis,UPI829070,,,Telecom,UPI,399.00,,113927.50
XXXX-XXXX-9876,2020-01-27,2020-01-27,INT CR/SB INTEREST,INT69795,,,Interest,AUTO,,45.75,113973.25
XXXX-XXXX-9876,2020-02-01,2020-02-01,NEFT CR/Salary CREDIT/FEB 2020,NEFT2002S,Employer: TechNova Solutions,,Income,NEFT,,78000.00,191973.25
XXXX-XXXX-9876,2020-02-03,2020-02-03,IMPS DR/RENT/HOME OWNER,IMPS172103,,,Housing,IMPS,23000.00,,168973.25
XXXX-XXXX-9876,2020-02-07,2020-02-07,ELECTRICITY BILL/NDPL/ONLINE,EB22267,,,Utilities,NET,1850.00,,167123.25
XXXX-XXXX-9876,2020-02-08,2020-02-08,WATER BILL/DJB/ONLINE,WB72141,,,Utilities,NET,350.00,,166773.25
XXXX-XXXX-9876,2020-02-14,2020-02-14,CC Payment HDFC Regalia XXXX-4321,NACH866676,,,Debt Payment,NACH,11000.00,,155773.25
XXXX-XXXX-9876,2020-02-02,2020-02-02,POS DR/BIGBASKET/DELHI,POS778563,BigBasket,5411,Groceries,POS,1580.00,,154193.25
XXXX-XXXX-9876,2020-02-09,2020-02-09,POS DR/BIGBASKET/DELHI,POS814328,BigBasket,5411,Groceries,POS,1890.00,,152303.25
XXXX-XXXX-9876,2020-02-16,2020-02-16,POS DR/BIGBASKET/DELHI,POS398420,BigBasket,5411,Groceries,POS,1725.00,,150578.25
XXXX-XXXX-9876,2020-02-23,2020-02-23,POS DR/BIGBASKET/DELHI,POS801133,BigBasket,5411,Groceries,POS,1725.00,,148853.25
XXXX-XXXX-9876,2020-02-15,2020-02-15,POS DR/IOCL FUEL PUMP/DELHI,POS584122,IOCL,5541,Transport,POS,1200.00,,147653.25
XXXX-XXXX-9876,2020-02-28,2020-02-28,POS DR/IOCL FUEL PUMP/DELHI,POS740595,IOCL,5541,Transport,POS,1500.00,,146153.25
XXXX-XXXX-9876,2020-02-06,2020-02-06,POS DR/SWIGGY/FOOD ORDER,POS328807,Swiggy,5814,Dining,POS,350.00,,145803.25
XXXX-XXXX-9876,2020-02-22,2020-02-22,POS DR/SWIGGY/FOOD ORDER,POS235623,Swiggy,5814,Dining,POS,620.00,,145183.25
XXXX-XXXX-9876,2020-02-18,2020-02-18,UPI CR/***@oksbi/Refund,UPI874230,,,Refund,UPI,,1500.00,146683.25
XXXX-XXXX-9876,2020-02-10,2020-02-10,SI POS/NETFLIX.COM/Subscriptions,SI62153,,,Subscriptions,SI,649.00,,146034.25
XXXX-XXXX-9876,2020-02-11,2020-02-11,UPI DR/AIRTEL PREPAID/***@okaxis,UPI509940,,,Telecom,UPI,399.00,,145635.25
XXXX-XXXX-9876,2020-02-27,2020-02-27,INT CR/SB INTEREST,INT31805,,,Interest,AUTO,,45.75,145681.00
XXXX-XXXX-9876,2020-03-01,2020-03-01,NEFT CR/Salary CREDIT/MAR 2020,NEFT2003S,Employer: TechNova Solutions,,Income,NEFT,,78000.00,223681.00
XXXX-XXXX-9876,2020-03-03,2020-03-03,IMPS DR/RENT/HOME OWNER,IMPS571007,,,Housing,IMPS,23000.00,,200681.00
XXXX-XXXX-9876,2020-03-07,2020-03-07,ELECTRICITY BILL/NDPL/ONLINE,EB62644,,,Utilities,NET,1850.00,,198831.00
XXXX-XXXX-9876,2020-03-08,2020-03-08,WATER BILL/DJB/ONLINE,WB27947,,,Utilities,NET,520.00,,198311.00
XXXX-XXXX-9876,2020-03-14,2020-03-14,CC Payment HDFC Regalia XXXX-4321,NACH840710,,,Debt Payment,NACH,15000.00,,183311.00
XXXX-XXXX-9876,2020-03-15,2020-03-15,POS DR/BIGBASKET/DELHI,POS476198,BigBasket,5411,Groceries,POS,1725.00,,181586.00
XXXX-XXXX-9876,2020-03-22,2020-03-22,POS DR/BIGBASKET/DELHI,POS341960,BigBasket,5411,Groceries,POS,1725.00,,179861.00
XXXX-XXXX-9876,2020-03-29,2020-03-29,POS DR/BIGBASKET/DELHI,POS187015,BigBasket,5411,Groceries,POS,1350.00,,178511.00
XXXX-XXXX-9876,2020-03-15,2020-03-15,POS DR/HPCL FUEL PUMP/DELHI,POS343224,HPCL,5541,Transport,POS,1500.00,,177011.00
XXXX-XXXX-9876,2020-03-28,2020-03-28,POS DR/BPCL FUEL PUMP/DELHI,POS112649,BPCL,5541,Transport,POS,1500.00,,175511.00
XXXX-XXXX-9876,2020-03-22,2020-03-22,POS DR/SWIGGY/FOOD ORDER,POS375509,Swiggy,5814,Dining,POS,480.00,,175031.00
XXXX-XXXX-9876,2020-03-25,2020-03-25,POS DR/SWIGGY/FOOD ORDER,POS104292,Swiggy,5814,Dining,POS,620.00,,174411.00
XXXX-XXXX-9876,2020-03-18,2020-03-18,UPI CR/***@oksbi/Refund,UPI252752,,,Refund,UPI,,2500.00,176911.00
XXXX-XXXX-9876,2020-03-10,2020-03-10,SI POS/NETFLIX.COM/Subscriptions,SI80069,,,Subscriptions,SI,649.00,,176262.00
XXXX-XXXX-9876,2020-03-11,2020-03-11,UPI DR/AIRTEL PREPAID/***@okaxis,UPI487190,,,Telecom,UPI,399.00,,175863.00
XXXX-XXXX-9876,2020-03-27,2020-03-27,INT CR/SB INTEREST,INT26448,,,Interest,AUTO,,45.75,175908.75
XXXX-XXXX-9876,2020-04-01,2020-04-01,NEFT CR/Salary CREDIT/APR 2020,NEFT2004S,Employer: TechNova Solutions,,Income,NEFT,,78000.00,253908.75
XXXX-XXXX-9876,2020-04-03,2020-04-03,IMPS DR/RENT/HOME OWNER,IMPS824035,,,Housing,IMPS,23000.00,,230908.75
XXXX-XXXX-9876,2020-04-07,2020-04-07,ELECTRICITY BILL/NDPL/ONLINE,EB77566,,,Utilities,NET,1600.00,,229308.75
XXXX-XXXX-9876,2020-04-08,2020-04-08,WATER BILL/DJB/ONLINE,WB69853,,,Utilities,NET,520.00,,228788.75
XXXX-XXXX-9876,2020-04-14,2020-04-14,CC Payment HDFC Regalia XXXX-4321,NACH518359,,,Debt Payment,NACH,17000.00,,211788.75
XXXX-XXXX-9876,2020-04-05,2020-04-05,POS DR/BIGBASKET/DELHI,POS208566,BigBasket,5411,Groceries,POS,1725.00,,210063.75
XXXX-XXXX-9876,2020-04-12,2020-04-12,POS DR/BIGBASKET/DELHI,POS765100,BigBasket,5411,Groceries,POS,1725.00,,208338.75
XXXX-XXXX-9876,2020-04-19,2020-04-19,POS DR/BIGBASKET/DELHI,POS165271,BigBasket,5411,Groceries,POS,1725.00,,206613.75
XXXX-XXXX-9876,2020-04-26,2020-04-26,POS DR/BIGBASKET/DELHI,POS170619,BigBasket,5411,Groceries,POS,1350.00,,205263.75
XXXX-XXXX-9876,2020-04-15,2020-04-15,POS DR/HPCL FUEL PUMP/DELHI,POS270187,HPCL,5541,Transport,POS,2200.00,,203063.75
XXXX-XXXX-9876,2020-04-28,2020-04-28,POS DR/HPCL FUEL PUMP/DELHI,POS729908,HPCL,5541,Transport,POS,1800.00,,201263.75
XXXX-XXXX-9876,2020-04-04,2020-04-04,POS DR/SWIGGY/FOOD ORDER,POS694315,Swiggy,5814,Dining,POS,350.00,,200913.75
XXXX-XXXX-9876,2020-04-06,2020-04-06,POS DR/SWIGGY/FOOD ORDER,POS662685,Swiggy,5814,Dining,POS,480.00,,200433.75
XXXX-XXXX-9876,2020-04-18,2020-04-18,UPI CR/***@oksbi/Refund,UPI206393,,,Refund,UPI,,2000.00,202433.75
XXXX-XXXX-9876,2020-04-10,2020-04-10,SI POS/NETFLIX.COM/Subscriptions,SI90443,,,Subscriptions,SI,649.00,,201784.75
XXXX-XXXX-9876,2020-04-11,2020-04-11,UPI DR/AIRTEL PREPAID/***@okaxis,UPI126739,,,Telecom,UPI,399.00,,201385.75
XXXX-XXXX-9876,2020-04-25,2020-04-25,POS DR/INDIGO AIRLINES/TICKET,POS494505,IndiGo,4511,Travel,POS,8200.00,,193185.75
XXXX-XXXX-9876,2020-04-27,2020-04-27,BANK CHARGES/CONSOLIDATED,BNK43063,,,Bank Charges,NET,29.50,,193156.25
XXXX-XXXX-9876,2020-05-01,2020-05-01,NEFT CR/Salary CREDIT/MAY 2020,NEFT2005S,Employer: TechNova Solutions,,Income,NEFT,,78000.00,271156.25
XXXX-XXXX-9876,2020-05-03,2020-05-03,IMPS DR/RENT/HOME OWNER,IMPS464264,,,Housing,IMPS,23000.00,,248156.25
XXXX-XXXX-9876,2020-05-07,2020-05-07,ELECTRICITY BILL/NDPL/ONLINE,EB88941,,,Utilities,NET,1850.00,,246306.25
XXXX-XXXX-9876,2020-05-08,2020-05-08,WATER BILL/DJB/ONLINE,WB72147,,,Utilities,NET,350.00,,245956.25
XXXX-XXXX-9876,2020-05-14,2020-05-14,CC Payment HDFC Regalia XXXX-4321,NACH990174,,,Debt Payment,NACH,11000.00,,234956.25
XXXX-XXXX-9876,2020-05-10,2020-05-10,POS DR/BIGBASKET/DELHI,POS588625,BigBasket,5411,Groceries,POS,1725.00,,233231.25
XXXX-XXXX-9876,2020-05-17,2020-05-17,POS DR/BIGBASKET/DELHI,POS607337,BigBasket,5411,Groceries,POS,1725.00,,231506.25
XXXX-XXXX-9876,2020-05-24,2020-05-24,POS DR/BIGBASKET/DELHI,POS190056,BigBasket,5411,Groceries,POS,1580.00,,229926.25
XXXX-XXXX-9876,2020-05-31,2020-05-31,POS DR/BIGBASKET/DELHI,POS207151,BigBasket,5411,Groceries,POS,1350.00,,228576.25
XXXX-XXXX-9876,2020-05-15,2020-05-15,POS DR/BPCL FUEL PUMP/DELHI,POS876314,BPCL,5541,Transport,POS,1800.00,,226776.25
XXXX-XXXX-9876,2020-05-28,2020-05-28,POS DR/IOCL FUEL PUMP/DELHI,POS969117,IOCL,5541,Transport,POS,2200.00,,224576.25
XXXX-XXXX-9876,2020-05-10,2020-05-10,POS DR/SWIGGY/FOOD ORDER,POS124217,Swiggy,5814,Dining,POS,890.00,,223686.25
XXXX-XXXX-9876,2020-05-30,2020-05-30,POS DR/SWIGGY/FOOD ORDER,POS653918,Swiggy,5814,Dining,POS,480.00,,223206.25
XXXX-XXXX-9876,2020-05-18,2020-05-18,UPI CR/***@oksbi/Refund,UPI479324,,,Refund,UPI,,1500.00,224706.25
XXXX-XXXX-9876,2020-05-10,2020-05-10,SI POS/NETFLIX.COM/Subscriptions,SI81194,,,Subscriptions,SI,649.00,,224057.25
XXXX-XXXX-9876,2020-05-11,2020-05-11,UPI DR/AIRTEL PREPAID/***@okaxis,UPI128356,,,Telecom,UPI,399.00,,223658.25
XXXX-XXXX-9876,2020-05-27,2020-05-27,BANK CHARGES/CONSOLIDATED,BNK94268,,,Bank Charges,NET,29.50,,223628.75
XXXX-XXXX-9876,2020-06-01,2020-06-01,NEFT CR/Salary CREDIT/JUN 2020,NEFT2006S,Employer: TechNova Solutions,,Income,NEFT,,78000.00,301628.75
XXXX-XXXX-9876,2020-06-03,2020-06-03,IMPS DR/RENT/HOME OWNER,IMPS195431,,,Housing,IMPS,23000.00,,278628.75
XXXX-XXXX-9876,2020-06-07,2020-06-07,ELECTRICITY BILL/NDPL/ONLINE,EB44224,,,Utilities,NET,1850.00,,276778.75
XXXX-XXXX-9876,2020-06-08,2020-06-08,WATER BILL/DJB/ONLINE,WB31894,,,Utilities,NET,480.00,,276298.75
XXXX-XXXX-9876,2020-06-14,2020-06-14,CC Payment HDFC Regalia XXXX-4321,NACH658463,,,Debt Payment,NACH,13000.00,,263298.75
XXXX-XXXX-9876,2020-06-21,2020-06-21,POS DR/BIGBASKET/DELHI,POS916898,BigBasket,5411,Groceries,POS,1890.00,,261408.75
XXXX-XXXX-9876,2020-06-28,2020-06-28,POS DR/BIGBASKET/DELHI,POS445678,BigBasket,5411,Groceries,POS,1890.00,,259518.75
XXXX-XXXX-9876,2020-06-15,2020-06-15,POS DR/BPCL FUEL PUMP/DELHI,POS743016,BPCL,5541,Transport,POS,1500.00,,258018.75
XXXX-XXXX-9876,2020-06-28,2020-06-28,POS DR/HPCL FUEL PUMP/DELHI,POS958084,HPCL,5541,Transport,POS,1500.00,,256518.75
XXXX-XXXX-9876,2020-06-12,2020-06-12,POS DR/SWIGGY/FOOD ORDER,POS642783,Swiggy,5814,Dining,POS,480.00,,256038.75
XXXX-XXXX-9876,2020-06-19,2020-06-19,POS DR/SWIGGY/FOOD ORDER,POS472834,Swiggy,5814,Dining,POS,750.00,,255288.75
XXXX-XXXX-9876,2020-06-18,2020-06-18,UPI CR/***@oksbi/Refund,UPI866513,,,Refund,UPI,,1000.00,256288.75
XXXX-XXXX-9876,2020-06-10,2020-06-10,SI POS/NETFLIX.COM/Subscriptions,SI13661,,,Subscriptions,SI,649.00,,255639.75
XXXX-XXXX-9876,2020-06-11,2020-06-11,UPI DR/AIRTEL PREPAID/***@okaxis,UPI928494,,,Telecom,UPI,399.00,,255240.75
XXXX-XXXX-9876,2020-06-25,2020-06-25,POS DR/INDIGO AIRLINES/TICKET,POS826161,IndiGo,4511,Travel,POS,8200.00,,247040.75
XXXX-XXXX-9876,2020-06-27,2020-06-27,INT CR/SB INTEREST,INT55125,,,Interest,AUTO,,45.75,247086.50
XXXX-XXXX-9876,2020-07-01,2020-07-01,NEFT CR/Salary CREDIT/JUL 2020,NEFT2007S,Employer: TechNova Solutions,,Income,NEFT,,78000.00,325086.50
XXXX-XXXX-9876,2020-07-03,2020-07-03,IMPS DR/RENT/HOME OWNER,IMPS568952,,,Housing,IMPS,23000.00,,302086.50
XXXX-XXXX-9876,2020-07-07,2020-07-07,ELECTRICITY BILL/NDPL/ONLINE,EB55812,,,Utilities,NET,1850.00,,300236.50
XXXX-XXXX-9876,2020-07-08,2020-07-08,WATER BILL/DJB/ONLINE,WB20556,,,Utilities,NET,420.00,,299816.50
XXXX-XXXX-9876,2020-07-14,2020-07-14,CC Payment HDFC Regalia XXXX-4321,NACH337865,,,Debt Payment,NACH,11000.00,,288816.50
XXXX-XXXX-9876,2020-07-05,2020-07-05,POS DR/BIGBASKET/DELHI,POS306261,BigBasket,5411,Groceries,POS,1725.00,,287091.50
XXXX-XXXX-9876,2020-07-12,2020-07-12,POS DR/BIGBASKET/DELHI,POS314301,BigBasket,5411,Groceries,POS,1580.00,,285511.50
XXXX-XXXX-9876,2020-07-19,2020-07-19,POS DR/BIGBASKET/DELHI,POS754381,BigBasket,5411,Groceries,POS,1725.00,,283786.50
XXXX-XXXX-9876,2020-07-26,2020-07-26,POS DR/BIGBASKET/DELHI,POS981260,BigBasket,5411,Groceries,POS,1890.00,,281896.50
XXXX-XXXX-9876,2020-07-15,2020-07-15,POS DR/HPCL FUEL PUMP/DELHI,POS784697,HPCL,5541,Transport,POS,2200.00,,279696.50
XXXX-XXXX-9876,2020-07-28,2020-07-28,POS DR/IOCL FUEL PUMP/DELHI,POS975192,IOCL,5541,Transport,POS,1200.00,,278496.50
XXXX-XXXX-9876,2020-07-06,2020-07-06,POS DR/SWIGGY/FOOD ORDER,POS920304,Swiggy,5814,Dining,POS,750.00,,277746.50
XXXX-XXXX-9876,2020-07-29,2020-07-29,POS DR/SWIGGY/FOOD ORDER,POS601253,Swiggy,5814,Dining,POS,480.00,,277266.50
XXXX-XXXX-9876,2020-07-18,2020-07-18,UPI CR/***@oksbi/Refund,UPI287193,,,Refund,UPI,,2500.00,279766.50
XXXX-XXXX-9876,2020-07-10,2020-07-10,SI POS/NETFLIX.COM/Subscriptions,SI93341,,,Subscriptions,SI,649.00,,279117.50
XXXX-XXXX-9876,2020-07-11,2020-07-11,UPI DR/AIRTEL PREPAID/***@okaxis,UPI448669,,,Telecom,UPI,399.00,,278718.50
XXXX-XXXX-9876,2020-07-25,2020-07-25,UPI DR/OLA CABS/***@okicici,UPI856888,Ola,4121,Transport,UPI,540.00,,278178.50
XXXX-XXXX-9876,2020-07-27,2020-07-27,INT CR/SB INTEREST,INT62610,,,Interest,AUTO,,45.75,278224.25
XXXX-XXXX-9876,2020-08-01,2020-08-01,NEFT CR/Salary CREDIT/AUG 2020,NEFT2008S,Employer: TechNova Solutions,,Income,NEFT,,78000.00,356224.25
XXXX-XXXX-9876,2020-08-03,2020-08-03,IMPS DR/RENT/HOME OWNER,IMPS879461,,,Housing,IMPS,23000.00,,333224.25
XXXX-XXXX-9876,2020-08-07,2020-08-07,ELECTRICITY BILL/NDPL/ONLINE,EB21130,,,Utilities,NET,1750.00,,331474.25
XXXX-XXXX-9876,2020-08-08,2020-08-08,WATER BILL/DJB/ONLINE,WB32282,,,Utilities,NET,420.00,,331054.25
XXXX-XXXX-9876,2020-08-14,2020-08-14,CC Payment HDFC Regalia XXXX-4321,NACH258492,,,Debt Payment,NACH,11000.00,,320054.25
XXXX-XXXX-9876,2020-08-02,2020-08-02,POS DR/BIGBASKET/DELHI,POS587958,BigBasket,5411,Groceries,POS,1890.00,,318164.25
XXXX-XXXX-9876,2020-08-09,2020-08-09,POS DR/BIGBASKET/DELHI,POS741281,BigBasket,5411,Groceries,POS,1350.00,,316814.25
XXXX-XXXX-9876,2020-08-16,2020-08-16,POS DR/BIGBASKET/DELHI,POS597399,BigBasket,5411,Groceries,POS,1890.00,,314924.25
XXXX-XXXX-9876,2020-08-23,2020-08-23,POS DR/BIGBASKET/DELHI,POS263486,BigBasket,5411,Groceries,POS,1580.00,,313344.25
XXXX-XXXX-9876,2020-08-30,2020-08-30,POS DR/BIGBASKET/DELHI,POS674919,BigBasket,5411,Groceries,POS,1890.00,,311454.25
XXXX-XXXX-9876,2020-08-15,2020-08-15,POS DR/HPCL FUEL PUMP/DELHI,POS114934,HPCL,5541,Transport,POS,1200.00,,310254.25
XXXX-XXXX-9876,2020-08-28,2020-08-28,POS DR/BPCL FUEL PUMP/DELHI,POS652160,BPCL,5541,Transport,POS,1200.00,,309054.25
XXXX-XXXX-9876,2020-08-09,2020-08-09,POS DR/SWIGGY/FOOD ORDER,POS304268,Swiggy,5814,Dining,POS,750.00,,308304.25
XXXX-XXXX-9876,2020-08-31,2020-08-31,POS DR/SWIGGY/FOOD ORDER,POS129353,Swiggy,5814,Dining,POS,480.00,,307824.25
XXXX-XXXX-9876,2020-08-18,2020-08-18,UPI CR/***@oksbi/Refund,UPI364067,,,Refund,UPI,,1500.00,309324.25
XXXX-XXXX-9876,2020-08-10,2020-08-10,SI POS/NETFLIX.COM/Subscriptions,SI48399,,,Subscriptions,SI,649.00,,308675.25
XXXX-XXXX-9876,2020-08-11,2020-08-11,UPI DR/AIRTEL PREPAID/***@okaxis,UPI625506,,,Telecom,UPI,399.00,,308276.25
XXXX-XXXX-9876,2020-08-25,2020-08-25,UPI DR/OLA CABS/***@okicici,UPI371963,Ola,4121,Transport,UPI,540.00,,307736.25
XXXX-XXXX-9876,2020-08-27,2020-08-27,INT CR/SB INTEREST,INT27180,,,Interest,AUTO,,45.75,307782.00
XXXX-XXXX-9876,2020-09-01,2020-09-01,NEFT CR/Salary CREDIT/SEP 2020,NEFT2009S,Employer: TechNova Solutions,,Income,NEFT,,78000.00,385782.00
XXXX-XXXX-9876,2020-09-03,2020-09-03,IMPS DR/RENT/HOME OWNER,IMPS163863,,,Housing,IMPS,23000.00,,362782.00
XXXX-XXXX-9876,2020-09-07,2020-09-07,ELECTRICITY BILL/NDPL/ONLINE,EB56371,,,Utilities,NET,1950.00,,360832.00
XXXX-XXXX-9876,2020-09-08,2020-09-08,WATER BILL/DJB/ONLINE,WB96831,,,Utilities,NET,520.00,,360312.00
XXXX-XXXX-9876,2020-09-14,2020-09-14,CC Payment HDFC Regalia XXXX-4321,NACH657658,,,Debt Payment,NACH,13000.00,,347312.00
XXXX-XXXX-9876,2020-09-06,2020-09-06,POS DR/BIGBASKET/DELHI,POS648936,BigBasket,5411,Groceries,POS,1350.00,,345962.00
XXXX-XXXX-9876,2020-09-13,2020-09-13,POS DR/BIGBASKET/DELHI,POS119613,BigBasket,5411,Groceries,POS,1890.00,,344072.00
XXXX-XXXX-9876,2020-09-20,2020-09-20,POS DR/BIGBASKET/DELHI,POS914225,BigBasket,5411,Groceries,POS,1725.00,,342347.00
XXXX-XXXX-9876,2020-09-27,2020-09-27,POS DR/BIGBASKET/DELHI,POS738115,BigBasket,5411,Groceries,POS,1350.00,,340997.00
